"coefficients","std.error","statistic","p.value"
"(Intercept)",0.83023139569007,5.72775436072754,0.144948847908452,0.885150717400154
"capital",0.790759576166974,0.516270219277222,1.53167768862213,0.129924394548285
"university",-1.59983015788121,4.34805919566621,-0.367941209143561,0.713981798889431
"venture",8.13812019932054,3.47412462052883,2.34249518604826,0.0218845648603214
"enterprise",3.90230135267894,2.74917756848002,1.41944318090609,0.160026026453005
"procurement_before",0.426930947199918,0.105708740381591,4.03874784297656,0.000131290905422342
"timedelta",-0.0228256574419796,0.00550055505507304,-4.14970075082296,8.89838428763672e-05
"energy_and_semiconductor",-16.9473250111687,14.0500249771801,-1.20621315895839,0.231630062068892
"finance",-5.23732794796929,5.6539093858705,-0.926319753382981,0.357332212927575
"computer",-12.4207031951825,5.27597781839197,-2.35419928262096,0.021255705618219
"service",-10.5598450201144,5.84437195979037,-1.80683999799582,0.0749080833649788
"accelerator_type",5.40934787559611,3.1394252028448,1.72303766647933,0.0891154662171208
"timedelta_energy",0.00501185737124601,0.015566952450128,0.32195494829849,0.748406974403956
"timedelta_finance",0.0107912989070597,0.00910782994180762,1.18483754923052,0.239924738769902
"timedelta_computer",0.0117034085614689,0.00691934240191416,1.69140474364027,0.09502474525665
"timedelta_service",0.0108437766001828,0.0117708944499692,0.921236414638915,0.359961552970383
"N","89"
"R-squared","0.482878654459507"
"Adj R-squared","0.376620843732008"
"coefficients","std.error","statistic","p.value"
"(Intercept)",0.83023139569007,5.72775436072754,0.144948847908452,0.885150717400154
"capital",0.790759576166974,0.516270219277222,1.53167768862213,0.129924394548285
"university",-1.59983015788121,4.34805919566621,-0.367941209143561,0.713981798889431
"venture",8.13812019932054,3.47412462052883,2.34249518604826,0.0218845648603214
"enterprise",3.90230135267894,2.74917756848002,1.41944318090609,0.160026026453005
"procurement_before",0.426930947199918,0.105708740381591,4.03874784297656,0.000131290905422342
"timedelta",-0.0228256574419796,0.00550055505507304,-4.14970075082296,8.89838428763672e-05
"energy_and_semiconductor",-16.9473250111687,14.0500249771801,-1.20621315895839,0.231630062068892
"finance",-5.23732794796929,5.6539093858705,-0.926319753382981,0.357332212927575
"computer",-12.4207031951825,5.27597781839197,-2.35419928262096,0.021255705618219
"service",-10.5598450201144,5.84437195979037,-1.80683999799582,0.0749080833649788
"accelerator_type",5.40934787559611,3.1394252028448,1.72303766647933,0.0891154662171208
"timedelta_energy",0.00501185737124601,0.015566952450128,0.32195494829849,0.748406974403956
"timedelta_finance",0.0107912989070597,0.00910782994180762,1.18483754923052,0.239924738769902
"timedelta_computer",0.0117034085614689,0.00691934240191416,1.69140474364027,0.09502474525665
"timedelta_service",0.0108437766001828,0.0117708944499692,0.921236414638915,0.359961552970383
"N","89"
"R-squared","0.482878654459507"
"Adj R-squared","0.376620843732008"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-6.40921934593913,5.55617281142897,-1.15353131795243,0.252307230929969
"capital",0.751692661783577,0.525821897951956,1.42955754545669,0.156941960345111
"university",-2.55341358507169,4.28349360029128,-0.596105381107154,0.552876147097718
"venture",7.43396169243916,3.57150160077727,2.08146671159865,0.0407588333780308
"enterprise",3.6104884002534,2.71745488183941,1.32862864601068,0.187946119405971
"procurement_before",0.441215027856122,0.109371067498962,4.0341110125885,0.000129357330214481
"timedelta",-0.00742406946504289,0.0105145083155383,-0.70607861463875,0.482298152708341
"energy_and_semiconductor",-12.9907406712836,5.61391101993871,-2.31402682107802,0.0233703861238733
"finance",1.58450272503695,3.9430062770871,0.401851433573548,0.688921221620918
"computer",-4.07833304914134,3.98065668506617,-1.02453775138198,0.308831391942551
"service",-3.38150371295207,4.07721936324036,-0.829365165739972,0.409495190087834
"accelerator_type",5.29617790567664,3.01230607318397,1.75818053577758,0.0827427978041819
"timedelta_sq",-4.60903080246305e-06,7.7021011904184e-06,-0.598412133067896,0.551344296557744
"N","89"
"R-squared","0.472811372973524"
"Adj R-squared","0.389571063443028"
"coefficients","std.error","statistic","p.value"
"(Intercept)",-4.26870933843122,5.84588742677055,-0.730207242596423,0.46747936212846
"capital",0.817334177440693,0.557441722403015,1.46622354336402,0.146659517747588
"university",-0.624185791237086,3.934313068794,-0.15865178503154,0.874358597081768
"venture",8.37717261114067,3.56919076397653,2.34707897815118,0.0214925160279222
"enterprise",3.84414137016465,2.8343481484544,1.35627000242045,0.178977019560648
"procurement_before",0.455947086573196,0.109869927896487,4.14988063888385,8.50303491138457e-05
"timedelta",-0.0094036714804897,0.0109521390680419,-0.858615054289206,0.393217910152282
"energy_and_semiconductor",-11.7969123589908,5.71536667032161,-2.06406920841125,0.0423796794752753
"finance",4.28029178648031,3.24249617267385,1.32006070586991,0.190725647206789
"computer",-2.26160992867167,3.45384758401367,-0.654808839608227,0.514542177218358
"service",-2.28173574095225,3.89064814757886,-0.586466741376283,0.559277319706271
"timedelta_sq",-3.21639914698926e-06,8.0986205013918e-06,-0.397153953125289,0.692352669035667
"N","89"
"R-squared","0.452355969968519"
"Adj R-squared","0.37412110853545"
