,coefficients,std.error,statistic,p.value
(Intercept),-7.735647704,0.864487326,-8.948248826,1.10E-17
less_mean,10.41385948,1.457006445,7.147435425,3.84E-12
over_mean,5.489973153,1.649619278,3.328024367,0.000950226
N,577,,,
R-squared,0.103378935,,,
Adj R-squared,0.099189117,,,
