capital,university,venture,enterprise,procurement_before,procurement_after,timedelta,accelerator_type,energy_and_semiconductor,finance,ecology,bio,computer,service
20000.0,0.0,0.0,1.0,5000.0,0.0,730,0.0,1,0,0,0,0,0
18000.0,0.0,0.0,1.0,0.0,0.0,912,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,263200.0,0.0,1208,1.0,0,0,0,0,0,1
6000.0,0.0,0.0,0.0,1000.0,0.0,534,1.0,0,0,0,0,1,0
45000.0,0.0,1.0,0.0,0.0,30000.0,768,1.0,0,0,0,0,1,0
7000.0,0.0,1.0,1.0,0.0,28000.0,640,1.0,0,0,0,0,1,0
94000.0,0.0,0.0,0.0,5000.0,25000.0,596,1.0,0,0,0,1,0,0
29000.0,0.0,0.0,1.0,6000.0,45470.0,545,1.0,0,1,0,0,0,0
,1.0,0.0,0.0,0.0,0.0,553,,0,0,0,1,0,0
9000.0,1.0,0.0,1.0,0.0,0.0,577,1.0,0,0,0,1,0,0
40000.0,0.0,0.0,0.0,20999.0,70000.0,786,,0,0,0,0,1,0
33000.0,0.0,0.0,1.0,500.0,29950.0,699,1.0,0,0,0,0,0,1
,0.0,0.0,1.0,3000.0,30400.0,335,1.0,0,0,0,0,1,0
109000.0,0.0,0.0,1.0,0.0,100000.0,387,1.0,0,0,0,0,0,1
16000.0,0.0,1.0,0.0,9500.0,0.0,625,,0,0,0,0,0,1
26000.0,0.0,0.0,0.0,0.0,0.0,598,1.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,0.0,456,0.0,0,0,0,0,0,1
13000.0,0.0,0.0,1.0,23004.0,50000.0,473,,0,0,0,0,0,1
92000.0,0.0,1.0,0.0,54000.0,0.0,987,,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,50000.0,17,,0,0,0,0,1,0
3000.0,0.0,0.0,0.0,3000.0,15000.0,274,1.0,0,0,0,0,1,0
78000.0,0.0,0.0,1.0,6453.0,71904.0,420,1.0,0,0,0,0,0,1
34000.0,0.0,0.0,0.0,20050.0,28210.0,618,,0,0,0,0,0,1
,0.0,1.0,0.0,1640000.0,0.0,852,,0,0,0,0,1,0
6000.0,1.0,0.0,1.0,0.0,0.0,640,1.0,1,0,0,0,0,0
,0.0,1.0,0.0,0.0,0.0,395,1.0,0,0,0,0,1,0
11000.0,0.0,0.0,0.0,10000.0,0.0,554,0.0,0,0,0,0,0,1
23000.0,0.0,0.0,0.0,500.0,20000.0,24,1.0,0,0,0,0,0,1
42000.0,0.0,0.0,1.0,16007.0,3001.0,208,1.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,149,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,0.0,0.0,61,0.0,1,0,0,0,0,0
,0.0,1.0,0.0,21958.0,0.0,425,1.0,0,0,0,0,0,1
151000.0,0.0,0.0,1.0,29550.0,170000.0,270,0.0,0,0,0,1,0,0
46000.0,0.0,0.0,0.0,13000.0,0.0,747,1.0,0,0,0,0,1,0
88000.0,0.0,1.0,0.0,31000.0,144000.0,760,1.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,395,0.0,0,0,0,0,1,0
9000.0,0.0,0.0,0.0,16000.0,0.0,680,,0,0,0,0,1,0
70000.0,1.0,1.0,0.0,32272.0,75600.0,716,1.0,0,0,0,0,1,0
166000.0,0.0,0.0,1.0,46000.0,150919.0,542,1.0,0,1,0,0,0,0
342000.0,0.0,0.0,1.0,13500.0,157624.0,424,1.0,0,0,0,0,1,0
34000.0,0.0,0.0,0.0,0.0,0.0,996,1.0,0,0,0,0,1,0
100000.0,0.0,0.0,1.0,180000.0,1000000.0,274,1.0,0,0,0,0,0,1
651000.0,0.0,0.0,1.0,10000.0,39668.0,61,1.0,0,0,0,0,0,1
122000.0,0.0,0.0,1.0,2000.0,29003.0,184,1.0,0,0,0,0,0,1
312000.0,0.0,0.0,1.0,84080.0,99999.0,697,0.0,0,0,0,1,0,0
68000.0,0.0,0.0,1.0,0.0,0.0,1034,0.0,0,0,0,1,0,0
31000.0,1.0,0.0,0.0,0.0,0.0,953,1.0,0,0,0,0,1,0
74000.0,0.0,0.0,1.0,100.0,59788.0,306,1.0,0,0,0,0,1,0
,0.0,0.0,1.0,0.0,0.0,851,1.0,0,0,0,0,1,0
567000.0,0.0,1.0,0.0,639416.0,542520.0,639,1.0,0,0,0,0,0,1
90000.0,0.0,0.0,0.0,390600.0,0.0,247,,0,1,0,0,0,0
29000.0,0.0,0.0,1.0,0.0,0.0,1095,1.0,0,0,0,0,1,0
125000.0,0.0,0.0,1.0,1000.0,130000.0,8,1.0,0,0,0,0,1,0
66000.0,0.0,1.0,0.0,108990.0,0.0,963,1.0,1,0,0,0,0,0
